t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779571824109,1779571824122,160,1779571824100,1779571824100,delta,"0,0.05"
1779571824113,1779571824122,161,1779571824104,1779571824104,delta,"0,0.05"
1779571824155,1779571824180,162,1779571824143,1779571824143,delta,"0,0.05"
1779571824192,1779571824213,163,1779571824183,1779571824183,delta,"0,0.05"
1779571824236,1779571824252,164,1779571824226,1779571824226,delta,"0,0.05"
1779571824270,1779571824308,165,1779571824260,1779571824260,delta,"0,0.05"
1779571824302,1779571824308,166,1779571824293,1779571824293,delta,"0,0.05"
1779571824335,1779571824342,167,1779571824325,1779571824325,delta,"0,0.05"
1779571824408,1779571824438,168,1779571824398,1779571824398,delta,"0,0.05"
1779571824411,1779571824438,169,1779571824402,1779571824402,delta,"0,0.05"
1779571824445,1779571824471,170,1779571824436,1779571824436,delta,"0,0.05"
1779571824479,1779571824510,171,1779571824469,1779571824469,delta,"0,0.05"
1779571824520,1779571824567,172,1779571824511,1779571824511,delta,"0,0.05"
1779571824551,1779571824567,173,1779571824542,1779571824542,delta,"0,0.05"
1779571824592,1779571824601,174,1779571824582,1779571824582,delta,"0,0.05"
1779571824624,1779571824640,175,1779571824614,1779571824614,delta,"0,0.05"
1779571824657,1779571824697,176,1779571824648,1779571824648,delta,"0,0.05"
1779571824699,1779571824732,177,1779571824689,1779571824689,delta,"0,0.05"
1779571824740,1779571824772,178,1779571824731,1779571824731,delta,"0,0.05"
1779571824788,1779571824828,179,1779571824778,1779571824779,delta,"0,0.05"
1779571824822,1779571824828,180,1779571824813,1779571824813,delta,"0,0.05"
1779571824864,1779571824902,181,1779571824854,1779571824854,delta,"0,0.05"
1779571824905,1779571824959,182,1779571824895,1779571824895,delta,"0,0.05"
1779571824946,1779571824959,183,1779571824937,1779571824937,delta,"0,0.05"
1779571824986,1779571824992,184,1779571824977,1779571824977,delta,"0,0.05"
1779571825032,1779571825087,185,1779571825023,1779571825023,delta,"0,0.05"
1779571825073,1779571825087,186,1779571825061,1779571825061,delta,"0,0.05"
1779571825112,1779571825121,187,1779571825103,1779571825103,delta,"0,0.05"
1779571825152,1779571825161,188,1779571825142,1779571825142,delta,"0,0.05"
1779571825191,1779571825218,189,1779571825181,1779571825181,delta,"0,0.05"
1779571825233,1779571825251,190,1779571825224,1779571825224,delta,"0,0.05"
1779571825268,1779571825290,191,1779571825258,1779571825258,delta,"0,0.05"
1779571825300,1779571825347,192,1779571825291,1779571825291,delta,"0,0.05"
1779571825335,1779571825347,193,1779571825323,1779571825323,delta,"0,0.05"
1779571825365,1779571825380,194,1779571825356,1779571825356,delta,"0,0.05"
1779571825398,1779571825419,195,1779571825389,1779571825389,delta,"0,0.05"
1779571825468,1779571825477,196,1779571825458,1779571825458,delta,"0,0.05"
1779571825471,1779571825477,197,1779571825462,1779571825462,delta,"0,0.05"
1779571825505,1779571825509,198,1779571825496,1779571825496,delta,"0,0.05"
1779571825548,1779571825549,199,1779571825538,1779571825538,delta,"0,0.05"
1779571825579,1779571825605,200,1779571825569,1779571825569,delta,"0,0.05"
1779571825612,1779571825639,201,1779571825602,1779571825602,delta,"0,0.05"
1779571825645,1779571825680,202,1779571825635,1779571825635,delta,"0,0.05"
1779571825685,1779571825735,203,1779571825676,1779571825676,delta,"0,0.05"
1779571825727,1779571825735,204,1779571825715,1779571825715,delta,"0,0.05"
1779571825767,1779571825768,205,1779571825758,1779571825758,delta,"0,0.05"
1779571825807,1779571825862,206,1779571825797,1779571825797,delta,"0,0.05"
1779571825849,1779571825863,207,1779571825839,1779571825839,delta,"0,0.05"
1779571825888,1779571825897,208,1779571825879,1779571825879,delta,"0,0.05"
1779571825931,1779571825937,209,1779571825921,1779571825921,delta,"0,0.05"
1779571825971,1779571825993,210,1779571825961,1779571825962,delta,"0,0.05"
1779571826013,1779571826027,211,1779571826003,1779571826003,delta,"0,0.05"
1779571826059,1779571826067,212,1779571826049,1779571826050,delta,"0,0.05"
1779571826096,1779571826123,213,1779571826086,1779571826086,delta,"0,0.05"
1779571826136,1779571826158,214,1779571826126,1779571826126,delta,"0,0.05"
1779571826176,1779571826199,215,1779571826166,1779571826166,delta,"0,0.05"
1779571826218,1779571826256,216,1779571826208,1779571826208,delta,"0,0.05"
1779571826256,1779571826290,217,1779571826246,1779571826246,delta,"0,0.05"
1779571826288,1779571826290,218,1779571826279,1779571826279,delta,"0,0.05"
1779571826321,1779571826328,219,1779571826311,1779571826311,delta,"0,0.05"
1779571826354,1779571826385,220,1779571826344,1779571826344,delta,"0,0.05"
1779571826386,1779571826418,221,1779571826376,1779571826376,delta,"0,0.05"
1779571826419,1779571826457,222,1779571826409,1779571826409,delta,"0,0.05"
1779571826451,1779571826457,223,1779571826442,1779571826442,delta,"0,0.05"
1779571826484,1779571826513,224,1779571826474,1779571826474,delta,"0,0.05"
1779571826521,1779571826548,225,1779571826507,1779571826507,delta,"0,0.05"
1779571826596,1779571826644,226,1779571826587,1779571826587,delta,"0,0.05"
1779571826600,1779571826644,227,1779571826591,1779571826591,delta,"0,0.05"
1779571826634,1779571826644,228,1779571826625,1779571826625,delta,"0,0.05"
1779571826680,1779571826719,229,1779571826669,1779571826669,delta,"0,0.05"
1779571826717,1779571826719,230,1779571826708,1779571826708,delta,"0,0.05"
1779571826759,1779571826775,231,1779571826749,1779571826749,delta,"0,0.05"
1779571826800,1779571826812,232,1779571826790,1779571826790,delta,"0,0.05"
1779571826840,1779571826850,233,1779571826831,1779571826831,delta,"0,0.05"
1779571826881,1779571826908,234,1779571826872,1779571826872,delta,"0,0.05"
1779571826922,1779571826941,235,1779571826913,1779571826913,delta,"0,0.05"
1779571826964,1779571826980,236,1779571826954,1779571826954,delta,"0,0.05"
1779571827005,1779571827038,237,1779571826995,1779571826995,delta,"0,0.05"
1779571827045,1779571827071,238,1779571827035,1779571827035,delta,"0,0.05"
1779571827086,1779571827110,239,1779571827076,1779571827076,delta,"0,0.05"
1779571827125,1779571827166,240,1779571827116,1779571827116,delta,"0,0.05"
1779571827170,1779571827200,241,1779571827160,1779571827160,delta,"0,0.05"
1779571827208,1779571827240,242,1779571827198,1779571827198,delta,"0,0.05"
1779571827250,1779571827296,243,1779571827241,1779571827241,delta,"0,0.05"
1779571827285,1779571827296,244,1779571827275,1779571827275,delta,"0,0.05"
1779571827317,1779571827331,245,1779571827308,1779571827308,delta,"0,0.05"
1779571827350,1779571827372,246,1779571827341,1779571827341,delta,"0,0.05"
1779571827383,1779571827430,247,1779571827373,1779571827373,delta,"0,0.05"
